TIMESTAMP,DURATION_MS,PROTOCOL,EVENT,FROM,TO,CHANNEL_NUMBER,FREQUENCY,TIMESLOT,DETAILS
"2023:10:01:21:27:20","4301","APCO-25","Call","16040","NPD 1st Main (608)","","856.637500","",""
"2023:10:01:21:27:20","4301","APCO-25","Call","16040","NPD 1st Main (608)","","856.637500","",""
"2023:10:01:21:27:20","4554","APCO-25","Call","16040","NPD 1st Main (608)","","856.637500","",""
"2023:10:01:21:27:20","4710","APCO-25","Call","16040","NPD 1st Main (608)","","856.637500","",""
"2023:10:01:21:27:20","4710","APCO-25","Call","16040","NPD 1st Main (608)","","856.637500","",""
"2023:10:01:21:27:20","4855","APCO-25","Call","16040","NPD 1st Main (608)","","856.637500","",""
"2023:10:01:21:27:20","5054","APCO-25","Call","16040","NPD 1st Main (608)","","856.637500","",""
"2023:10:01:21:27:20","5054","APCO-25","Call","16040","NPD 1st Main (608)","","856.637500","",""
"2023:10:01:21:27:20","5210","APCO-25","Call","16040","NPD 1st Main (608)","","856.637500","",""
"2023:10:01:21:27:20","5258","APCO-25","Call","16040","NPD 1st Main (608)","","856.637500","",""
"2023:10:01:21:27:29","","APCO-25","Call","","NPD 1st Main (608)","","856.637500","",""
"2023:10:01:21:27:29","193","APCO-25","Call","","NPD 1st Main (608)","","856.637500","",""
"2023:10:01:21:27:29","342","APCO-25","Call","","NPD 1st Main (608)","","856.637500","",""
"2023:10:01:21:27:29","342","APCO-25","Call","","NPD 1st Main (608)","","856.637500","",""
"2023:10:01:21:27:29","547","APCO-25","Call","","NPD 1st Main (608)","","856.637500","",""
"2023:10:01:21:27:29","692","APCO-25","Call","","NPD 1st Main (608)","","856.637500","",""
"2023:10:01:21:27:29","692","APCO-25","Call","","NPD 1st Main (608)","","856.637500","",""
"2023:10:01:21:27:29","949","APCO-25","Call","5556778","NPD 1st Main (608)","","856.637500","",""
"2023:10:01:21:27:29","1099","APCO-25","Call","5556778","NPD 1st Main (608)","","856.637500","",""
"2023:10:01:21:27:29","1099","APCO-25","Call","5556778","NPD 1st Main (608)","","856.637500","",""
"2023:10:01:21:27:29","1242","APCO-25","Call","5556778","NPD 1st Main (608)","","856.637500","",""
"2023:10:01:21:27:29","1296","APCO-25","Call","5556778","NPD 1st Main (608)","","856.637500","",""
